Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Years,Supermarket Type1,Supermarket Type2,Supermarket Type3,Regular,Food,Non-Consumable,OUT013,OUT017,OUT018,OUT019,OUT027,OUT035,OUT045,OUT046,OUT049,Item_Outlet_Sales
9.3,0.016047301,249.8092,2,1,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3735.138
5.92,0.019278216,48.2692,2,3,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,443.4228
17.5,0.016760075,141.618,2,1,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2097.27
19.2,0.057850699000000005,182.095,2,3,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,732.38
8.93,0.057850699000000005,53.8614,3,3,26,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,994.7052
10.395,0.057850699000000005,51.4008,2,3,4,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,556.6088
13.65,0.012741088999999999,57.6588,3,3,26,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,343.5528
12.792854228644991,0.127469857,107.7622,2,3,28,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4022.7636
16.2,0.016687114,96.9726,2,2,11,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1076.5986
19.2,0.09444959,187.8214,2,2,6,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4710.535
11.8,0.057850699000000005,45.5402,2,1,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1516.0266
18.5,0.045463773,144.1102,1,1,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2187.153
15.1,0.1000135,145.4786,2,1,14,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1589.2646
17.6,0.047257328,119.6782,1,1,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2145.2076
16.35,0.06802430000000001,196.4426,3,3,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1977.4260000000002
9.0,0.06908896099999999,56.3614,1,1,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1547.3192
11.8,0.008596051,115.3492,2,3,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1621.8888
9.0,0.06919637599999999,54.3614,2,1,14,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,718.3982
12.792854228644991,0.034237682,113.2834,2,3,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2303.6679999999997
13.35,0.10249212,230.5352,1,2,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2748.4224
18.85,0.138190277,250.8724,3,3,26,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3775.086
12.792854228644991,0.035399923,144.5444,2,3,28,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,4064.0432
14.6,0.025698133999999997,196.5084,1,2,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1587.2672
12.792854228644991,0.057556998,107.6938,1,1,28,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,214.3876
13.85,0.025896485,165.021,1,1,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4078.025
13.0,0.099887103,45.906000000000006,2,2,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,838.908
7.645,0.06669343700000001,42.3112,1,2,9,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1065.28
11.65,0.019356131999999998,39.1164,3,3,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,308.9312
5.925,0.161466534,45.5086,2,3,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,178.4344
12.792854228644991,0.072221801,43.6454,1,1,28,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,125.8362
19.25,0.17034855100000001,55.7956,2,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,163.7868
18.6,0.080829372,96.4436,2,3,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2741.7644
18.7,0.057850699000000005,256.6672,2,3,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3068.0064
17.85,0.057850699000000005,93.1436,2,2,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2174.5028
17.5,0.097904029,174.8738,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2085.2856
10.0,0.08929113699999999,146.7102,2,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3791.0652
12.792854228644991,0.059511812000000004,128.0678,2,3,28,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2797.6916
8.85,0.113123893,122.5388,2,3,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1609.9044
12.792854228644991,0.12311145300000001,36.9874,2,3,28,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,388.1614
12.792854228644991,0.026480953999999998,87.6198,2,3,28,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2180.495
13.35,0.102511504,230.6352,1,1,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3435.528
9.8,0.02681843,126.00200000000001,3,3,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2150.534
13.6,0.117818348,192.9136,2,1,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2527.3768
21.35,0.06910283099999999,259.9278,2,3,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6768.5228
12.15,0.042277867000000004,126.5046,3,3,26,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,373.5138
6.42,0.08949892599999999,178.1002,2,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,358.2004
19.6,0.057850699000000005,153.3024,2,2,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2428.8384
10.0,0.025879577,265.2226,2,2,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5815.0972
15.85,0.121632721,60.622,1,1,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2576.646
12.792854228644991,0.25539489600000004,196.8794,1,1,28,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,780.3176
7.39,0.067779712,143.8812,1,1,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3134.5864
10.195,0.159803853,141.5154,3,3,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,850.8924
9.895,0.028696932,117.0492,3,3,26,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,810.9444
10.895,0.065041581,196.3794,2,2,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3121.2704
12.15,0.028760012999999997,151.4708,2,2,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4815.0656
7.905,0.010053105,249.0408,2,3,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6258.52
9.195,0.048157338,106.1622,2,2,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2117.244
8.365,0.071958197,38.0506,2,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,796.9626
15.1,0.17348130399999998,194.511,1,1,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4910.275
12.792854228644991,0.061082177,180.0344,1,1,28,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,892.172
10.0,0.057850699000000005,246.9144,2,3,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3185.1872
7.97,0.040071131,87.3514,2,2,11,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1062.6168
12.792854228644991,0.012090074,38.2848,2,3,28,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,484.7024
12.792854228644991,0.15028599,51.0692,1,1,28,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,147.8076
12.792854228644991,0.026015518999999997,255.8356,2,3,28,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2543.356
17.7,0.195068226,185.4266,2,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,184.4266
19.35,0.033082215,172.5738,1,2,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4865.6664
13.65,0.078946455,186.024,2,2,11,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1118.5439999999999
17.6,0.041700756,164.8526,2,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2302.3364
8.645,0.14342264300000002,95.84100000000001,1,1,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2027.361
15.6,0.10529607199999999,170.1764,1,1,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3435.528
15.85,0.121531501,59.222,3,3,26,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,599.22
18.25,0.057850699000000005,164.7526,2,2,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4604.6728
7.855,0.011324862,189.6188,2,2,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2285.0256
7.825,0.186357148,254.3698,2,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5580.7356
8.39,0.024205661,114.0176,1,1,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2290.3520000000003
12.85,0.033230816,172.3422,2,1,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1207.0954
12.792854228644991,0.113720344,89.9804,1,1,28,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,643.1628
19.0,0.11255650699999999,104.9622,2,2,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1587.933
5.905,0.057850699000000005,222.5456,2,2,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5305.0944
7.76,0.05935224099999999,101.87,1,1,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1697.79
11.8,0.014087057,180.3344,1,1,16,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1427.4752
